text,author,likes,replyCount,cleaned_text
This remind me of Good Boys (2019),@JessieJamesTan,2,2,this remind me of good boys 
"I feel like this trailer spoils some of the best scenes in the film. If you haven't seen the film, just watch it already. Don't watch trailers or read reviews, just watch it, it's the greatest teen comedy of all time",@SamWood64,5,0,i feel like this trailer spoils some of the best scenes in the film if you havent seen the film just watch it already dont watch trailers or read reviews just watch it its the greatest teen comedy of all time
We can be that mistake😂😂😂,@emorywhite1413,5,0,we can be that mistakeface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
BEST MOVIE OF ALL TIME HISTORY 💯💯💯,@SulWorld1,18,0,best movie of all time history hundred_pointshundred_pointshundred_points
Came here from Project X (2012),@matexhdchannel4193,1,0,came here from project x 
Can someone recommend good movies?,@ilijadjurovic7446,1,4,can someone recommend good movies
These type of movies never get old.,@keanucora4606,76,0,these type of movies never get old
"0:17 ""bye..take care of those"" that line was not in the version i saw..",@ashish01997,10,0, byetake care of those that line was not in the version i saw
Why Is Scott Pilgrim There?,@MayEReyes-rk4ec,4,0,why is scott pilgrim there
The best movie then you are high,@Bandera123,0,0,the best movie then you are high
"Jonah Hill gets to kiss Emma Stone, dang",@nghiaphan__,10,0,jonah hill gets to kiss emma stone dang
Jeez this trailer is terrible; it basically gives away the entire movie and all the jokes in it,@benparsons4979,0,0,jeez this trailer is terrible it basically gives away the entire movie and all the jokes in it
Seth lookin like jimmy from GTA and y'all know it.,@akuma3278,5,0,seth lookin like jimmy from gta and yall know it
Watched it in 13 still watch it once a f*ckin month,@bootysnatcher9263,2,0,watched it in  still watch it once a fckin month
I love this movie,@kboytv9680,1,0,i love this movie
Did anyone else though this movie was called Superbad,@theamerican3785,1,0,did anyone else though this movie was called superbad
I could have met Emma stone before she was famous,@MrGleeiscool,6,0,i could have met emma stone before she was famous
lol this movie looks good,@adamzez,0,0,lol this movie looks good
is it just me or does mclovin looks like faze sway or is he,@chillyplayz2780,2,1,is it just me or does mclovin looks like faze sway or is he
"This movie is exactly what high school was like in the late 2000s. The humor, awkward friendships, conversations; it's like going back in time.",@EmeraldBayMovies,3131,39,this movie is exactly what high school was like in the late s the humor awkward friendships conversations its like going back in time
