text,author,likes,replyCount,cleaned_text
Bro why tf are we living through a hoi4 mod playthrough,@MrGasmask-vj7ou,0,0,bro why tf are we living through a hoi mod playthrough
We are in a time when the psychopaths are ruling the world. Sign for empires to collapse,@jasflower1710,0,0,we are in a time when the psychopaths are ruling the world sign for empires to collapse
Most American governors won't have problem with that,@lord_9923,0,0,most american governors wont have problem with that
In what bizarre universe is this guy ok to be a president?!,@Liddy23,2,0,in what bizarre universe is this guy ok to be a president
"The fact that Trump posted this proves he doesn't understand sarcasm,  irony, and parody",@PaulMichael-c4q,0,0,the fact that trump posted this proves he doesnt understand sarcasm  irony and parody
"Anyone that fell for this troll is not safe to be out in public or by themselves. You are a danger to society if you did not know, Trump was trolling you.",@RichardTavilla,0,0,anyone that fell for this troll is not safe to be out in public or by themselves you are a danger to society if you did not know trump was trolling you
Trump Gaza here we come!!!!!,@silenceroy33,0,0,trump gaza here we come
"Trump, Musk and Netanyahu are out of their minds.  This is NOT what America does. We help the underprivileged NOT the DICTATOR",@jkbartels,2,1,trump musk and netanyahu are out of their minds  this is not what america does we help the underprivileged not the dictator
Trump screams out all the best held secrets.,@joannekenney6220,0,0,trump screams out all the best held secrets
Gross. He is despicable.,@iamaef,2,0,gross he is despicable
Yall are getting trolled so hard i can't stop laughing.,@franklinclinton3211,1,3,yall are getting trolled so hard i cant stop laughing
Trump is the end of civilisation as we know it.,@vanhelsing8120,2,0,trump is the end of civilisation as we know it
I like how Trump Trolls everyone!,@blakespower,0,0,i like how trump trolls everyone
I repent we are officially run by demons,@PeteRed-ig3fp,4,0,i repent we are officially run by demons
just a distraction. its working.,@mrocean8139,0,0,just a distraction its working
..🚂 without transformation there is no progress..get on the train invite your friend..where are seats left. .....🚂 (😊😊😊)(☆(Jail)(🐴 )..,@Carlos-m2v1w,0,0,locomotive without transformation there is no progressget on the train invite your friendwhere are seats left locomotive smiling_face_with_smiling_eyessmiling_face_with_smiling_eyessmiling_face_with_smiling_eyesjailhorse_face 
oh i see thats why he give israel money and everything to make the palestinians hopeless and give up their lands,@ThePixelCristal,1,0,oh i see thats why he give israel money and everything to make the palestinians hopeless and give up their lands
I think it's really funny.,@heroiamarelo,1,0,i think its really funny
He is clearly delusional!  Will never happen!  This is Palestinians home land and he thinks he is going to just displace the people and build something no one wants but him .,@marthatahir2865,0,0,he is clearly delusional  will never happen  this is palestinians home land and he thinks he is going to just displace the people and build something no one wants but him 
"Thank you, Donald for maintaining your stupidity so that we can definitely mark you down as the worst president. The United States has had not once but twice.😊",@TenaciousDmitchell,0,0,thank you donald for maintaining your stupidity so that we can definitely mark you down as the worst president the united states has had not once but twicesmiling_face_with_smiling_eyes
I actually kinda like the song its catchy,@nicholaswechsler9150,1,0,i actually kinda like the song its catchy
"So, peaople of gaza ware fighting not to be under any ones shoe and to be separate nation (i still think that their war and prewar crimes ware horrid and they should be punished)  and now, the will be trmup gazians instead of Palestinian.",@mumlum9057,0,0,so peaople of gaza ware fighting not to be under any ones shoe and to be separate nation i still think that their war and prewar crimes ware horrid and they should be punished  and now the will be trmup gazians instead of palestinian
"""I don't want to sound cute or be a wise guy""--Donald, you'll never sound cute and you'd never cut it as a wise guy.",@lisabrooks9362,0,0,i dont want to sound cute or be a wise guydonald youll never sound cute and youd never cut it as a wise guy
